race_key,race_label,year,race_name,race_date,classification,category,distance,finishers,startlist_riders,note,url
milano-sanremo,Milano-Sanremo,2024,115th Milano-Sanremo,2024-03-16,1.UWT,ME - Men Elite,288 km,164,34,,https://www.procyclingstats.com/race/milano-sanremo/2024/result
milano-sanremo,Milano-Sanremo,2025,116th Milano-Sanremo,2025-03-22,1.UWT,ME - Men Elite,289 km,169,39,,https://www.procyclingstats.com/race/milano-sanremo/2025/result
milano-sanremo,Milano-Sanremo,2026,117th Milano-Sanremo,2026-03-21,1.UWT,ME - Men Elite,298 km,168,41,,https://www.procyclingstats.com/race/milano-sanremo/2026/result
liege-bastogne-liege,Liège-Bastogne-Liège,2023,109th Liège-Bastogne-Liège,2023-04-23,1.UWT,ME - Men Elite,258.1 km,113,37,,https://www.procyclingstats.com/race/liege-bastogne-liege/2023/result
liege-bastogne-liege,Liège-Bastogne-Liège,2024,110th Liège-Bastogne-Liège,2024-04-21,1.UWT,ME - Men Elite,254.5 km,117,38,,https://www.procyclingstats.com/race/liege-bastogne-liege/2024/result
liege-bastogne-liege,Liège-Bastogne-Liège,2025,111th Liège-Bastogne-Liège,2025-04-27,1.UWT,ME - Men Elite,252 km,129,43,,https://www.procyclingstats.com/race/liege-bastogne-liege/2025/result
liege-bastogne-liege,Liège-Bastogne-Liège,2026,112th Liège-Bastogne-Liège,2026-04-26,1.UWT,ME - Men Elite,259.5 km,105,47,,https://www.procyclingstats.com/race/liege-bastogne-liege/2026/result
il-lombardia,Il Lombardia,2023,117th Il Lombardia,2023-10-07,1.UWT,ME - Men Elite,238 km,122,38,,https://www.procyclingstats.com/race/il-lombardia/2023/result
il-lombardia,Il Lombardia,2024,118th Il Lombardia,2024-10-12,1.UWT,ME - Men Elite,255 km,119,40,,https://www.procyclingstats.com/race/il-lombardia/2024/result
il-lombardia,Il Lombardia,2025,119th Il Lombardia,2025-10-11,1.UWT,ME - Men Elite,241 km,96,44,,https://www.procyclingstats.com/race/il-lombardia/2025/result
il-lombardia,Il Lombardia,2026,120th Il Lombardia,2026-10-10,1.UWT,ME - Men Elite,0 km,0,0,not ridden yet,https://www.procyclingstats.com/race/il-lombardia/2026/result
olympic-games,Olympics RR,2024,Olympic Games ME - Road Race,2024-08-03,Olympics,ME - Men Elite,272.1 km,77,40,,https://www.procyclingstats.com/race/olympic-games/2024/result
