first_name,last_name,country_code,uci_rank,uci_points,pcs_rider_path,is_starter
Finn,Fisher-Black,NZ,96,914.9,finn-fisher-black,True
Ben,Oliver,NZ,219,449.0,ben-oliver,True
Laurence,Pithie,NZ,34,1664.9,laurence-pithie,True
Corbin,Strong,NZ,86,996.0,corbin-strong,True
Christofer Robín,Jurado,PA,728,101.0,christofer-robin-jurado,True
Mateusz,Gajdulewicz,PL,486,174.0,mateusz-gajdulewicz,True
Jakub,Kaczmarek,PL,684,110.0,jakub-kaczmarek,True
Michał,Kwiatkowski,PL,521,157.3,michal-kwiatkowski,True
Piotr,Pękala,PL,524,156.0,piotr-pekala,True
João,Almeida,PT,206,468.7,joao-almeida,True
Tiago,Antunes,PT,282,342.0,tiago-antunes,True
Afonso,Eulálio,PT,55,1375.0,afonso-eulalio,True
António,Morgado,PT,85,1005.6,antonio-morgado,True
Ivo,Oliveira,PT,333,290.9,ivo-emanuel-alves,True
Nelson,Oliveira,PT,1078,56.1,nelson-oliveira,True
Iustin-Ioan,Văidian,RO,1021,63.0,iustin-ioan-vaidian,True
Mihajlo,Stolić,RS,597,134.0,mihajlo-stolic,True
Ali,Al Shaikhahmed,SA,3267,1.0,ali-al-shaikhahmed,True
Jakob,Söderqvist,SE,159,608.7,jakob-soderqvist,True
Tilen,Finkšt,SI,758,97.2,tilen-finkst,True
Gal,Glivar,SI,458,198.0,gal-glivar,True
Matevž,Govekar,SI,367,263.3,matevz-govekar,True
Luka,Mezgec,SI,1143,52.0,luka-mezgec,True
Matej,Mohorič,SI,207,466.7,matej-mohoric,True
Primož,Roglič,SI,22,2214.0,primoz-roglic,True
Jan,Tratnik,SI,1138,52.8,jan-tratnik,True
Martin,Svrček,SK,1070,58.0,martin-svrcek,True
Athit,Poulard,TH,391,246.0,athit-poulard,True
Heorhii,Antonenko,UA,494,170.0,heorhii-antonenko,True
Matteo,Jorgenson,US,38,1589.8,matteo-jorgenson,True
Brandon,Mcnulty,US,64,1251.9,brandon-mcnulty,True
Neilson,Powless,US,793,90.0,neilson-powless,True
Sean,Quinn,US,436,210.4,sean-quinn,True
Artem,Shmidt,US,245,406.0,artem-shmidt,True
Quinn,Simmons,US,37,1602.8,quinn-simmons,True
Kevin,Vermaerke,US,171,560.7,kevin-vermaerke,True
Larry,Warbasse,US,504,165.0,lawrence-warbasse,True
Eric Antonio,Fagúndez,UY,160,608.4,eric-antonio-fagundez,True
Guillermo Thomas,Silva,UY,35,1639.0,guillermo-thomas-silva-coussan,True
Samandar,Janikulov,UZ,988,65.0,samandar-janikulov,True
Orluis,Aular,VE,186,516.4,orluis-aular,True
Francisco Joel,Peñuela,VE,357,271.4,francisco-penuela,True
Byron,Munton,ZA,330,295.0,byron-munton,True
